id,title,channelId,channelTitle,categoryId,publishedAt,tags,viewCount,likeCount,commentCount
JyYQmekPqqI,We made a real DOGDAY Animatronic!,UCsxpEPfEgqyXC6jaFKQSKVQ,Wicked Makers,26,2024-04-10T20:00:02Z,"['Dogday', 'Dog Day', 'Poppy Playtime', 'Poppy Playtime chapter 3', 'Poppys Playtime', 'smiling critters', 'Dogday in real life', 'dogday animatronic', 'animatronic dogday', 'diy animatronics', 'wicked makers', '3d printing', 'pneumatic props', 'pneumatic animatronic', 'halloween animatronic', 'diy animatronic', 'dog day animatronic', 'huggy wuggy', 'catnap', 'dogday', 'real dogday', 'real dogday animatronic', 'real life dogday', 'real life dog day']",2535054,64240,7704
bv-kwQTU-m8,Monterrey vs. Inter Miami CF Highlights | FOX Soccer,UCooTLkxcpnTNx6vfOovfBFA,FOX Soccer,17,2024-04-11T05:11:18Z,"['Monterrey', 'Inter Miami CF', 'Lionel Messi', 'mls', 'concacaf', 'soccer', 'Soccer on Fox', '2024 MLS Season', 'Major League Soccer', 'sports', 'sports highlights', 'sports talk', 'sports news', 'sports debate', 'soccer highlights', 'MLS highlights', 'highlights', 'Fox', 'Fox Sports', 'Fox Sports 1', 'FS1', 'Fox Youtube', 'MLS talk', 'MLS news', 'MLS debate', 'Soccer', 'North American Soccer', 'Fox Soccer', 'MLS Match', 'goal', 'pass', 'scorer', 'goaltender', 'Eastern Conference', 'Western Conference', 'messi', 'monterrey', 'miami']",417850,4221,2047
oQkQv1ULyzs,"Kendall Jenner’s Guide to “Spring French Girl"" Makeup | Beauty Secrets | Vogue",UCRXiA3h1no_PFkb1JCP0yMA,Vogue,24,2024-04-11T16:00:09Z,"['beauty', 'beauty secrets', 'celebrity', 'celebrity makeup tutorial', 'fashion', 'how to', 'how-to', 'kendall jenner', 'kendall jenner beauty', 'kendall jenner beauty secrets', 'kendall jenner get ready with me', 'kendall jenner getting ready', 'kendall jenner getting ready routine', 'kendall jenner look', 'kendall jenner makeup', 'kendall jenner makeup tutorial', 'kendall jenner routine', 'kendall jenner skincare', 'makeup tutorial', 'vogue', ""women's lifestyle""]",1723065,62961,1479
DJN7Jr4FPeA,'HOT DEBUT' BABYMONSTER - SHEESH #엠카운트다운 EP.837 | Mnet 240411 방송,UCbD8EppRX3ZwJSou-TVo90A,Mnet K-POP,20,2024-04-11T11:09:11Z,"['BABYMONSTER', 'CJ100', 'KPOP', 'MCD', 'MCOUNTDOWN', 'Mnet', 'SHEESH', '베이비몬스터', '쉬시', '엠넷', '엠카', '엠카운트다운', '케이팝', '티빙에서스트리밍']",3584602,264139,7045
ds7I-E2eJnc,It's OVER! Ten Hag Won't Survive This! Man Utd News,UCMmVPVb0BwSIOWVeDwlPocQ,The United Stand,17,2024-04-14T09:50:31Z,"['Manchester United', 'Man United', 'Man Utd', 'Manchester United TV', 'The United Stand', 'United Stand', 'Manchester United News', 'MUFC', 'Man Utd News', 'United', 'Manchester United 2020', 'Manchester United Latest News', 'Manchester United Transfer News', 'Manchester United Breaking News', 'Chelsea Manchester United', 'Chelsea vs Man Utd', 'Chelsea vs United', 'Ten Hag', 'Ten Hag presser', 'Goldbridge', 'Mark Goldbridge', 'Mason Mount', 'Chelsea vs Manchester United']",244506,6688,1451
Obu-R8kuz3w,QWERTY [Official Visualizer]  - Linkin Park,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,10,2024-04-12T04:00:11Z,"['Meteora20', 'Meteora20 Official Audio', 'Linkin Park Meteora20', 'Linkin Park lyrics', 'Linkin Park Meteora20 lyrics', 'Meteora 20th Anniversary Edition', 'Linkin Park Meteora 20th Anniversary Edition', 'Linkin Park Album', 'Album Linkin Park', 'Linkin Park Meteora 20th Anniversary Edition Album', 'Lost', 'Lost by Linkin Park', 'Friendly Fire', 'One More Light', 'Papercuts', 'Greatest Hits', 'QWERTY', 'Chester Bennington', 'Mike Shinoda', 'Brad Delson', 'Joe Hahn', 'Dave Farrell', 'Phoenix', 'Music Video', 'qwerty']",609763,60629,2999
54r7NsXOGeQ,Perrie - Forget About Us (Official Lyric Video),UC2G8OZ7sSEbeRPVipbCWhgQ,PerrieVEVO,10,2024-04-12T07:00:03Z,"['Edwards', 'Little Mix', 'Official', 'Lyric', 'Video', 'black magic', 'Leigh-anne', 'jest nelson', 'heartbreak anthem', 'secret love song', 'shout out to my ex', 'power', 'wings', 'audio', 'Forget About Us', 'Perrie']",523098,38588,2413
VY2JoNWi-9o,We Still Don't Trust You,UC1_liDR4fRFJgH4HoJeV8cw,Future - Topic,10,2024-04-12T04:00:31Z,"['Future', 'フューチャー', 'Metro Boomin', 'The Weeknd', 'ザウィークエンド', ""WE STILL DON'T TRUST YOU"", ""We Still Don't Trust You""]",900140,26252,712
F9gq_0HXoRI,410 (OFFICIAL VIDEO) SIDHU MOOSE WALA | SUNNY MALTON  |  Latest New Punjabi Songs 2024,UCE_rsy9ZtdZKdkPcum_RvXA,Sunny Malton,10,2024-04-10T11:30:07Z,"['sidhu moose wala', '410', '410 punjabi songs', 'sidhu moose wala new song', 'latest punjabi songs sidhu moose wala', 'sidhu moose', 'moose wala', 'jatt moose wala', 'punjabi songs sidhu', 'sidhu', 'moose', 'wala', 'punjabi songs', 'new songs 2024', 'punjabi songs 2024 latest punjabi songs', 'sidhu moosa', '410 new song', '410 punjabi song sidhu', 'sidhu moose wala 410 songs']",16683683,981177,120573
5VFLKunsQqo,I DESTROYED A ROLLS ROYCE TO REBUILD MARCUS RASHFORDS WRAITH,UC2FZQeaJkpnO6IMkQglvPsg,Mat Armstrong MK2,2,2024-04-11T18:33:49Z,"['marcus rashford', 'rolls royce', 'rashford crash', 'rashford car crash', 'marcus rashford crash', 'manchester united', 'rolls royce wraith', 'mat armstrong', 'matt armstrong', 'man utd news', 'marcus rashford rolls royce', 'rashford rolls royce accident', 'marcus rashfords car crash', 'rebuilding a rolls royce']",2019131,69935,3921
FjzxI6uf8H8,Speak No Evil | Official Trailer,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,24,2024-04-10T23:58:57Z,,15836706,18404,2267
